club_id,club_code,name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,last_season,url,transfer_euros
6195,ssc-neapel,386,IT1,27,26.1,19,70.4,20,Stadio Diego Armando Maradona,54726,+€4.40m,2022,https://www.transfermarkt.co.uk/ssc-neapel/startseite/verein/6195,4400000.0
720,fc-porto,181,PO1,28,26.6,15,53.6,9,Estádio do Dragão,50399,+€35.74m,2022,https://www.transfermarkt.co.uk/fc-porto/startseite/verein/720,35740000.0
931,fc-fulham,213,GB1,24,28.1,22,91.7,14,Craven Cottage,22384,€-49.30m,2022,https://www.transfermarkt.co.uk/fc-fulham/startseite/verein/931,-49300000.0
1090,az-alkmaar,25,NL1,28,23.1,11,39.3,8,AFAS Stadion,19478,+€8.21m,2022,https://www.transfermarkt.co.uk/az-alkmaar/startseite/verein/1090,8210000.000000001
162,as-monaco,21,FR1,27,24.3,27,100.0,9,Stade Louis-II,18523,+€112.70m,2022,https://www.transfermarkt.co.uk/as-monaco/startseite/verein/162,112700000.0
2424,gil-vicente-fc,221,PO1,25,25.6,17,68.0,4,Estádio Cidade de Barcelos,12046,+€5.35m,2022,https://www.transfermarkt.co.uk/gil-vicente-fc/startseite/verein/2424,5350000.0
3329,fc-famalicao,159,PO1,30,24.3,19,63.3,4,Estádio Municipal de Famalicão,5300,+€2.20m,2022,https://www.transfermarkt.co.uk/fc-famalicao/startseite/verein/3329,2200000.0
41231,fk-sochi,185,RU1,25,27.9,7,28.0,3,Fisht Olympic Stadium,45994,+€5.97m,2022,https://www.transfermarkt.co.uk/fk-sochi/startseite/verein/41231,5970000.0
8024,fc-arouca,149,PO1,27,25.9,21,77.8,2,Estádio Municipal de Arouca,5600,+€4.00m,2022,https://www.transfermarkt.co.uk/fc-arouca/startseite/verein/8024,4000000.0
1049,fc-valencia,455,ES1,26,25.0,14,53.8,9,Mestalla,48600,+€42.10m,2022,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049,42100000.0
1283,fc-emmen,156,NL1,30,25.7,14,46.7,3,De Oude Meerdijk,8309,+-0,2022,https://www.transfermarkt.co.uk/fc-emmen/startseite/verein/1283,0.0
2425,rio-ave-fc,353,PO1,24,27.3,12,50.0,0,Estádio dos Arcos,9065,+€600k,2022,https://www.transfermarkt.co.uk/rio-ave-fc/startseite/verein/2425,600000.0
3719,fk-khimki,196,RU1,27,25.3,12,44.4,2,Arena Khimki,18636,€-892k,2022,https://www.transfermarkt.co.uk/fk-khimki/startseite/verein/3719,-892000.0
